model,variable,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV
model_a,revol_util,"[38.55, 42.55)",41902,0.05052359966479975,34590,7312,0.1745024103861391,0.06828847843930186,0.00023055162952038678
model_a,revol_util,"[42.55, 51.65)",104383,0.1258604578256597,85398,18985,0.18187827519806865,0.01791417727485123,4.016282585633049e-05
model_a,revol_util,"[51.65, 63.15)",139893,0.16867686334561194,113159,26734,0.19110320030308878,-0.04290156455778038,0.0003146673320232837
model_a,revol_util,"[63.15, 74.65)",130079,0.15684357120895154,104167,25912,0.19920202338578863,-0.09447011172372832,0.001441655380094561
model_a,revol_util,"[74.65, 90.45)",138391,0.16686581741232645,109915,28476,0.20576482574733906,-0.13511359778747312,0.003176815242250804
model_a,revol_util,"[90.45, inf)",53573,0.06459598121431714,41909,11664,0.21772161349933736,-0.20676588462570056,0.002943093717393848
model_a,revol_util,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,revol_util,Missing,484,0.0005835860397537846,382,102,0.21074380165289255,-0.16531151503562236,1.6785255292220167e-05
model_a,revol_util,,829355,1.0,676290,153065,0.18455908507213437,,0.022629023200599747
model_a,total_acc,"(-inf, 38.50)",720263,0.8684616358495457,587841,132422,0.18385228728950398,0.004703399969219646,1.9183586364918225e-05
model_a,total_acc,"[38.50, 43.50)",45986,0.05544790831429243,37509,8477,0.18433871178184666,0.0014649801967772103,1.1894548203701253e-07
model_a,total_acc,"[43.50, inf)",63077,0.07605548890402783,50914,12163,0.19282781362461754,-0.054019932140908944,0.0002257331826138233
model_a,total_acc,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,total_acc,Missing,29,3.4966932134007754e-05,26,3,0.10344827586206896,0.6737249389954456,1.2696703023496919e-05
model_a,total_acc,,829355,1.0,676290,153065,0.18455908507213437,,0.00025773241748427544
model_a,mths_since_last_delinq,"(-inf, 9.50)",55669,0.06712324637820957,44495,11174,0.20072212541989257,-0.10397213808605787,0.0007495231612532696
model_a,mths_since_last_delinq,"[9.50, 15.50)",45252,0.05456288320441789,36324,8928,0.19729514717581542,-0.08247303616929957,0.00038081718224234294
model_a,mths_since_last_delinq,"[15.50, inf)",302945,0.3652778363909303,245859,57086,0.18843684497185959,-0.025560012193973858,0.00024056772801775038
model_a,mths_since_last_delinq,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,mths_since_last_delinq,Missing,425489,0.5130360340264423,349612,75877,0.1783289344730416,0.04195104960156426,0.0008909663842972479
model_a,mths_since_last_delinq,,829355,1.0,676290,153065,0.18455908507213437,,0.002261874455810611
model_a,mths_since_last_record,"(-inf, 68.50)",61898,0.07463390224933834,49540,12358,0.19965103880577725,-0.09728251293550105,0.0007280957029679426
model_a,mths_since_last_record,"[68.50, inf)",67629,0.08154409149278656,52700,14929,0.22074849546792058,-0.22444948488206307,0.00440113501773432
model_a,mths_since_last_record,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,mths_since_last_record,Missing,699828,0.8438220062578751,574050,125778,0.17972701863886556,0.032438741972093954,0.0008788602454666909
model_a,mths_since_last_record,,829355,1.0,676290,153065,0.18455908507213437,,0.006008090966168953
model_a,mths_since_recent_inq,"(-inf, 1.50)",143459,0.17297659024181442,110865,32594,0.22720080301688983,-0.26157428780676373,0.012820033191863775
model_a,mths_since_recent_inq,"[1.50, 2.50)",62999,0.07596143991415015,49742,13257,0.2104319116176447,-0.1634353785204905,0.0021342987581813547
model_a,mths_since_recent_inq,"[2.50, 3.50)",56971,0.06869314105539848,45222,11749,0.20622772989766724,-0.13794374685397437,0.0013643293361334503
model_a,mths_since_recent_inq,"[3.50, 4.50)",51322,0.06188182382694986,41125,10197,0.1986867230427497,-0.09123666065447922,0.0005299978607597401
model_a,mths_since_recent_inq,"[4.50, 6.50)",86458,0.10424727649800146,70132,16326,0.1888315713988295,-0.02813905877920897,8.327737721739157e-05
model_a,mths_since_recent_inq,"[6.50, 8.50)",73309,0.08839278716593015,59906,13403,0.18282884775402747,0.011538794195652402,1.172613806209114e-05
model_a,mths_since_recent_inq,"[8.50, 10.50)",56457,0.0680733823272302,46503,9954,0.17631117487645465,0.05578303584697797,0.00020811120900938537
model_a,mths_since_recent_inq,"[10.50, 12.50)",44893,0.05413001669972448,37202,7691,0.17131846835809592,0.0905523988419159,0.0004312393747787587
model_a,mths_since_recent_inq,"[12.50, 16.50)",62400,0.07523919190214082,52007,10393,0.16655448717948718,0.12448651194199378,0.001120525953830115
model_a,mths_since_recent_inq,"[16.50, inf)",61748,0.07445303880726589,52338,9410,0.15239359979270584,0.23019042072392182,0.003662957298462318
model_a,mths_since_recent_inq,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,mths_since_recent_inq,Missing,129339,0.1559513115613941,111248,18091,0.13987273753469565,0.3305880559596115,0.015308164551690954
model_a,mths_since_recent_inq,,829355,1.0,676290,153065,0.18455908507213437,,0.03767466104998933
model_a,mort_acc,"(-inf, 0.50)",312423,0.3767059944173484,246055,66368,0.21242994273789062,-0.17541923478651889,0.01223776613756453
model_a,mort_acc,"[0.50, 1.50)",130240,0.1570376979701093,105571,24669,0.18941185503685504,-0.03192299267006504,0.00016164761319133316
model_a,mort_acc,"[1.50, 2.50)",108683,0.1310452098317367,89628,19055,0.1753264079938905,0.06257892647917984,0.0005030938150046182
model_a,mort_acc,"[2.50, 3.50)",83039,0.10012479577502999,69501,13538,0.16303182841797229,0.15008128451209912,0.00214945789816251
model_a,mort_acc,"[3.50, 5.50)",97810,0.11793502179404478,82669,15141,0.15480012268684185,0.21167907652082185,0.004936402700578141
model_a,mort_acc,"[5.50, inf)",47130,0.056827293499165016,40483,6647,0.14103543390621684,0.32095719748771545,0.005274745198948217
model_a,mort_acc,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,mort_acc,Missing,50030,0.06032398671256579,42383,7647,0.15284829102538477,0.22667461402237654,0.002881191404551155
model_a,mort_acc,,829355,1.0,676290,153065,0.18455908507213437,,0.028144304768000505
model_a,acc_open_past_24mths,"(-inf, 1.50)",110577,0.13332891222697157,96567,14010,0.1266990422963184,0.44470639724113314,0.022795469224767623
model_a,acc_open_past_24mths,"[1.50, 2.50)",106777,0.12874703836113607,91264,15513,0.14528409676241139,0.28631871291165534,0.00962000101845201
